expense_id,matter_id,expense_date,expense_type,amount,vendor
90,7,2022-10-22,Filing Fees,2085.88,Gilbert-Bullock
91,7,2022-06-09,Travel,9466.34,Conley PLC
92,7,2022-12-08,Transcript Services,13551.58,"Rose, Rodriguez and Roberts"
93,7,2022-08-04,Document Review,3443.72,Allen Ltd
94,7,2022-11-09,Transcript Services,1829.58,Brown-Copeland
95,7,2022-09-12,Filing Fees,1979.67,"Smith, Robertson and Allen"
96,7,2022-07-04,Travel,1277.89,Smith-Gomez
97,7,2022-09-26,Mediation Services,10245.65,Beck Inc
98,7,2022-09-17,Transcript Services,9735.55,Jones-Fox
99,7,2022-09-13,Research/Legal Database,3881.04,"Spencer, Myers and Harrison"
100,7,2022-10-09,Research/Legal Database,1162.37,King-Smith
101,7,2022-11-08,Court Fees,3137.42,Allen-Sandoval
102,8,2023-04-10,Expert Witness,39856.81,"Moss, Cook and Williams"
103,8,2023-08-05,Investigation,12209.54,"Thompson, Maxwell and Marshall"
104,8,2023-09-13,Document Review,14901.22,"White, Taylor and Baldwin"
105,8,2023-11-18,Transcript Services,9781.22,Carter Inc
106,8,2023-10-08,Document Review,7459.1,Stewart LLC
107,8,2023-07-28,Expert Witness,5053.58,"Kennedy, Johnson and Lucas"
108,8,2023-05-28,Filing Fees,4856.76,Glenn LLC
109,8,2023-05-25,Investigation,6236.83,Kim-Ross
110,8,2023-07-08,Document Review,8398.96,Morgan-Lopez
111,8,2023-09-12,Filing Fees,2733.85,Glass-Stone
112,8,2023-10-11,Document Review,8799.74,"Coleman, Jordan and Carney"
113,8,2023-04-30,Transcript Services,7027.01,Morris-Miller
114,8,2023-09-04,Document Review,13329.8,Griffin-Robbins
115,8,2023-04-26,Court Fees,2389.05,Bell-Williams
116,8,2023-10-29,Travel,4470.91,Mendez-Graham
117,8,2023-08-29,Deposition,4839.67,Jones Ltd
118,9,2022-09-25,Document Review,12939.56,"Owen, Shelton and Cisneros"
119,9,2022-07-22,Expert Witness,6037.41,"Gregory, Kim and Martinez"
120,9,2022-08-14,Travel,4177.03,"Diaz, Reyes and Bradley"
121,9,2022-11-13,Travel,5232.34,"Cole, Watson and Wallace"
122,9,2022-07-05,Expert Witness,31498.85,Moreno Group
123,9,2022-09-02,Filing Fees,4887.73,Wright-Wilson
124,10,2023-12-07,Filing Fees,3274.06,Holmes-Mcintyre
125,10,2023-08-23,Investigation,6900.0,Padilla-Lewis
126,10,2023-11-16,Court Fees,4472.29,"Hendricks, Henry and Martinez"
127,10,2023-12-27,Transcript Services,9926.07,Thompson-Reeves
128,10,2024-01-21,Research/Legal Database,8754.99,"Ponce, Downs and Contreras"
129,10,2023-12-03,Filing Fees,1502.33,"Daniels, Vance and York"
130,10,2023-12-03,Travel,1445.91,"Little, Leon and Hicks"
131,10,2023-08-23,Deposition,6342.08,Conner and Sons
132,10,2023-12-16,Expert Witness,13066.08,Ward PLC
133,10,2023-10-05,Deposition,1991.1,"Anderson, Henson and Jones"
134,10,2023-10-10,Mediation Services,2835.98,"Higgins, Fox and Hammond"
135,10,2023-12-22,Filing Fees,3534.9,Martinez LLC
136,10,2023-11-21,Filing Fees,1848.69,Owens-Holmes
137,10,2023-08-25,Court Fees,4339.96,"Bowman, White and Burch"
138,10,2023-10-16,Transcript Services,4704.72,Guerra PLC
139,10,2023-08-29,Mediation Services,9501.09,Martin Ltd
140,10,2023-09-10,Mediation Services,12687.19,"Jacobson, Singleton and King"
141,10,2023-11-20,Deposition,6505.52,"Hill, Weber and Mendez"
142,10,2023-08-19,Deposition,9303.43,"Jackson, David and Moore"
143,10,2023-11-24,Filing Fees,3458.57,"Winters, Morgan and Bradshaw"
144,10,2023-08-10,Travel,3686.83,Miller Ltd
145,10,2023-12-13,Deposition,7783.47,Curtis-Wang
146,10,2023-10-13,Document Review,11307.27,"Johnson, Small and Gardner"
147,11,2024-04-16,Document Review,11890.69,Webb-Ballard
148,11,2024-05-17,Document Review,9373.81,Chavez-Barker
149,11,2023-05-02,Filing Fees,3062.23,Washington-Harris
150,11,2024-03-21,Transcript Services,9041.78,Hensley-Flores
151,11,2024-12-22,Transcript Services,4015.64,Hester-Anderson
152,11,2023-10-02,Document Review,4498.93,"Rodriguez, Allen and Martinez"
153,11,2023-11-29,Investigation,4633.79,Davis LLC
154,11,2024-11-21,Transcript Services,13273.3,"Barnes, Estes and Barrera"
155,11,2024-08-18,Filing Fees,1687.07,"Griffith, Lee and Moore"
156,11,2024-12-28,Mediation Services,11506.52,Jimenez-Parker
157,11,2023-01-24,Mediation Services,2984.39,Wagner-Levy
158,11,2023-06-12,Travel,1429.7,Williams-Campbell
159,11,2024-03-15,Deposition,5504.54,"Chambers, Mitchell and Smith"
160,11,2023-03-26,Research/Legal Database,9278.86,Khan Ltd
161,12,2023-05-04,Travel,9894.94,Diaz-Morales
162,12,2023-10-15,Mediation Services,9816.91,Cox LLC
163,12,2022-09-12,Mediation Services,8948.24,"Cole, Pierce and Bryan"
164,12,2023-11-27,Document Review,1946.5,"Wilson, Hester and Long"
165,12,2024-04-13,Research/Legal Database,2002.36,Grant-Diaz
166,12,2022-11-07,Expert Witness,49896.79,"Hicks, Porter and Williams"
167,12,2022-11-02,Transcript Services,6960.37,Brock-Stone
168,12,2022-11-11,Expert Witness,36107.24,"Taylor, Velazquez and Flores"
169,12,2023-05-26,Court Fees,4371.9,"Stevenson, Evans and Rogers"
170,12,2024-05-10,Expert Witness,26551.86,"Burns, Hart and Wells"
171,12,2022-07-28,Document Review,13538.95,Nunez-Whitney
172,12,2023-10-26,Mediation Services,5542.34,"Wiggins, Soto and Carlson"
173,12,2023-02-13,Document Review,9639.31,"Patton, Parsons and Lane"
174,12,2024-02-14,Filing Fees,2167.45,"Castillo, Warren and Griffith"
175,12,2024-03-28,Investigation,12105.12,Hernandez-Becker
176,12,2022-08-09,Research/Legal Database,12957.58,"Rodriguez, Smith and Edwards"
177,12,2022-11-13,Research/Legal Database,1040.74,"Harris, Shaw and Carr"
178,12,2023-07-28,Expert Witness,6930.98,"Luna, Thornton and Stone"
179,12,2023-10-08,Document Review,8716.93,"Mendoza, Bennett and Frye"
180,12,2023-07-19,Document Review,6031.77,"Peterson, Gomez and Ingram"
181,13,2023-09-30,Research/Legal Database,10991.25,"Lara, Baker and Washington"
182,13,2024-02-28,Travel,6099.16,Grant-Walker
183,13,2024-03-09,Expert Witness,11364.58,Wise-Bush
184,13,2023-09-10,Deposition,1959.72,Stewart-Bailey
185,13,2024-02-13,Court Fees,1418.18,"Hill, Martinez and Rhodes"
186,13,2023-02-24,Investigation,5333.12,Cardenas-Blevins
187,13,2023-11-22,Filing Fees,4389.44,Williams-Moses
188,14,2022-11-24,Transcript Services,6178.29,Douglas-Burgess
189,14,2023-03-17,Deposition,6241.15,"Nelson, Hoffman and Nelson"
190,14,2022-12-19,Investigation,14475.71,"Matthews, Sanchez and Santiago"
191,14,2023-12-06,Mediation Services,14128.85,"Hall, Garcia and Rivera"
192,14,2023-10-18,Court Fees,4652.14,"Townsend, Smith and Pierce"
193,14,2024-11-01,Transcript Services,3666.81,Delgado-Gilmore
194,14,2023-10-21,Court Fees,1674.91,"Gonzalez, Maynard and Morris"
195,14,2024-03-11,Deposition,5972.95,Pearson and Sons
196,14,2023-12-09,Travel,3334.37,"Jefferson, Johnson and Dorsey"
197,14,2023-09-03,Deposition,4568.94,Peck Inc
198,14,2024-12-28,Travel,1761.78,French-Lopez
199,14,2024-06-04,Travel,9410.94,Mcdowell-Smith
200,14,2024-01-06,Mediation Services,5879.31,Hebert LLC
201,14,2023-05-15,Travel,3669.61,"Daniels, Snyder and Mays"
202,14,2024-08-28,Research/Legal Database,3262.16,Nelson-Lamb
203,14,2023-06-22,Filing Fees,1209.07,"Stevens, Scott and Lopez"
204,14,2024-05-25,Research/Legal Database,985.54,Bradley-Todd
205,14,2023-02-13,Travel,2754.13,"Prince, Wilcox and Robertson"
206,14,2022-12-01,Investigation,4744.95,"Davis, Holden and Woods"
207,14,2024-11-07,Document Review,6395.37,Green and Sons
208,14,2023-09-27,Court Fees,584.22,Finley-Turner
209,15,2024-12-24,Investigation,10855.98,Green LLC
210,15,2024-12-23,Filing Fees,2769.96,Contreras Group
211,15,2024-12-13,Filing Fees,4016.44,Parks-Leblanc
212,15,2024-12-28,Mediation Services,12552.33,Vaughn-Fowler
213,15,2024-12-29,Expert Witness,29847.6,Mendez-Robinson
214,15,2024-12-09,Deposition,7396.8,Gibson PLC
215,15,2024-12-15,Research/Legal Database,8751.67,"Dunn, Ruiz and Medina"
216,15,2024-12-22,Document Review,6030.72,Gill Ltd
217,15,2024-12-24,Transcript Services,14409.32,Fox PLC
218,15,2024-12-23,Research/Legal Database,13348.75,Stark Inc
219,15,2024-12-07,Court Fees,3409.85,"Leach, Harris and Herrera"
220,15,2024-12-10,Investigation,6853.24,"Ramos, Frazier and Love"
221,16,2024-12-10,Court Fees,2596.17,"Griffin, Brown and Anderson"
222,16,2024-12-07,Travel,9941.92,"Brown, Ford and Roman"
223,16,2024-12-19,Document Review,3513.67,Scott-Smith
224,16,2024-11-29,Deposition,1526.01,Williams LLC
225,16,2024-12-19,Travel,5829.05,"Mcknight, Michael and Jones"
226,16,2024-12-28,Deposition,9525.24,Mitchell and Sons
227,16,2024-12-21,Research/Legal Database,2848.81,"Good, Brewer and Fisher"
228,16,2024-12-30,Mediation Services,9337.78,West-Stark
229,16,2024-12-06,Document Review,6620.8,Vega Ltd
230,16,2024-12-25,Deposition,2630.57,Valdez LLC
231,16,2024-11-25,Deposition,7568.49,"Long, Anderson and Irwin"
232,16,2024-12-24,Research/Legal Database,3385.07,Good Group
233,16,2024-12-17,Research/Legal Database,8044.55,"Coleman, Gray and Hall"
234,16,2024-12-09,Research/Legal Database,9542.32,Hill Ltd
235,17,2024-08-08,Expert Witness,11133.15,Pacheco Group
236,17,2024-05-07,Research/Legal Database,5287.74,Allen Inc
237,17,2023-06-26,Transcript Services,14876.84,Griffin Ltd
238,17,2024-07-01,Travel,2839.7,Sanchez Inc
239,17,2023-12-28,Expert Witness,15337.48,Fernandez Inc
240,17,2023-07-20,Travel,2775.42,Young-Hendricks
241,17,2024-04-13,Filing Fees,2608.01,"Harper, Chambers and Flores"
242,17,2023-10-27,Court Fees,3803.28,Odom PLC
243,17,2023-09-08,Court Fees,3516.47,Hill-Hawkins
244,17,2024-04-23,Filing Fees,4024.91,"Buck, Garrett and Simmons"
245,17,2024-02-24,Deposition,9395.33,David-Powers
246,17,2024-08-21,Expert Witness,24689.28,Horton-Russell
247,18,2024-02-19,Research/Legal Database,11750.63,Webster Group
248,18,2024-01-23,Transcript Services,9344.44,Turner Ltd
249,18,2023-12-11,Deposition,3242.11,Melendez-Hart
250,18,2024-12-16,Expert Witness,12810.24,"Moreno, Price and Scott"
251,18,2024-03-03,Deposition,2895.48,Nielsen LLC
252,18,2023-11-17,Court Fees,4737.03,"Calderon, Williams and Bennett"
253,18,2024-07-05,Research/Legal Database,13698.41,Russo and Sons
254,18,2024-10-03,Transcript Services,8563.86,"Ramsey, Hansen and Mendoza"
255,18,2024-11-02,Document Review,12332.94,Turner-Stout
256,18,2024-01-10,Research/Legal Database,3907.32,Hayden Inc
257,18,2024-09-07,Travel,3437.68,Rocha-Dominguez
258,18,2024-08-19,Research/Legal Database,1176.67,Herman-Arnold
259,18,2024-09-20,Mediation Services,4792.07,Owens-Wong
260,18,2024-02-23,Court Fees,4759.47,Hunt-Crawford
261,18,2023-11-20,Transcript Services,12237.74,"Harrison, Franco and Rocha"
262,18,2024-03-22,Expert Witness,9089.01,Williams-Shields
263,18,2024-09-05,Research/Legal Database,14385.37,Green PLC
264,18,2024-06-24,Research/Legal Database,4743.77,Phillips-Gonzalez
265,19,2024-09-03,Expert Witness,24770.6,"Whitaker, Porter and Pena"
266,19,2024-11-12,Filing Fees,4623.31,Hines-Burns
267,19,2024-11-18,Document Review,10078.03,"Henry, Jackson and Norton"
268,19,2024-08-25,Mediation Services,7207.26,"Payne, White and Preston"
269,19,2024-12-29,Court Fees,4242.64,Warren Inc
270,19,2024-12-22,Investigation,9811.8,"Williams, Smith and Taylor"
271,19,2024-11-04,Investigation,5156.17,Mann Inc
272,19,2024-09-01,Document Review,6501.84,Brooks-Williamson
273,19,2024-11-09,Transcript Services,11906.57,"Durham, Hopkins and Smith"
274,19,2024-10-19,Transcript Services,14067.87,Smith-Moreno
275,19,2024-09-10,Research/Legal Database,13922.06,Smith-Li
276,19,2024-11-10,Expert Witness,22384.28,Rodriguez Inc
277,19,2024-10-18,Mediation Services,3797.16,Lee PLC
278,19,2024-09-06,Investigation,2734.25,Adams-Sanders
279,19,2024-09-25,Investigation,9619.37,Stevens-Sanchez
280,19,2024-11-14,Deposition,5552.1,Sutton-Abbott
281,20,2024-11-16,Research/Legal Database,2755.5,"Malone, Davis and Gray"
282,20,2024-11-03,Transcript Services,1081.5,Walsh Ltd
283,20,2024-09-15,Transcript Services,11838.15,Bruce-Newman
284,20,2024-10-05,Deposition,4467.5,Jacobson Inc
285,20,2024-09-22,Mediation Services,4585.34,"Clay, Alvarez and Williams"
286,20,2024-09-02,Document Review,13765.44,Lam-Elliott
287,20,2024-08-28,Research/Legal Database,14233.74,Smith-Clark
288,21,2023-07-16,Travel,6644.81,"Nicholson, Hickman and Evans"
289,21,2024-04-03,Investigation,8814.35,"Davenport, Price and Mosley"
290,21,2023-11-10,Court Fees,4074.93,"Taylor, Hinton and Ramsey"
291,21,2024-02-23,Court Fees,1084.96,Brown-Kim
292,21,2024-09-21,Court Fees,4906.97,Jacobs-Austin
293,21,2024-04-23,Court Fees,2889.12,Johnson-Nelson
294,21,2024-12-26,Mediation Services,1108.47,Perez-Tran
295,21,2023-12-07,Deposition,9842.68,Frazier Ltd
296,21,2023-12-10,Mediation Services,6530.97,"Phillips, Wright and Jones"
297,21,2023-10-01,Transcript Services,1224.95,Dawson-Walters
298,21,2024-07-21,Court Fees,2544.87,Ward-Davis
299,21,2024-11-25,Expert Witness,43832.92,Ward-Nelson
300,21,2023-07-09,Investigation,4724.55,Jordan PLC
301,21,2024-03-28,Expert Witness,40907.2,Garcia-Davis
302,21,2024-03-28,Travel,6384.38,"George, Nguyen and Cruz"
303,21,2023-10-16,Deposition,1932.12,Maxwell-Hardy
304,21,2024-03-31,Transcript Services,9450.13,Armstrong and Sons
305,21,2024-06-17,Deposition,2603.83,Taylor LLC
306,21,2023-10-02,Deposition,7616.97,Brown Group
307,21,2023-10-06,Court Fees,2722.96,Washington-Jones
308,22,2022-06-22,Research/Legal Database,2560.52,Le Group
309,22,2022-09-19,Investigation,14207.52,Ellis and Sons
310,22,2022-07-06,Document Review,4121.71,Cook-Oliver
311,22,2022-11-13,Mediation Services,7088.85,Alexander-Jordan
312,22,2022-11-18,Research/Legal Database,811.23,"Mccann, Taylor and Flores"
313,22,2022-12-20,Document Review,2669.98,Mendoza and Sons
314,22,2022-12-24,Court Fees,2190.56,Carter-Neal
315,22,2022-08-23,Filing Fees,3556.07,"Casey, Nguyen and Ramirez"
316,22,2022-11-08,Document Review,9070.99,Wilson-Elliott
317,22,2022-09-18,Filing Fees,4324.99,"White, Saunders and Johnson"
318,23,2024-02-18,Travel,7660.34,"Clark, Salinas and Guerra"
319,23,2023-08-29,Expert Witness,36156.02,Chambers-Taylor
320,23,2023-10-29,Travel,2821.21,Hopkins-Espinoza
321,23,2024-03-06,Document Review,4769.2,Cole PLC
322,23,2023-12-15,Investigation,13219.53,Ferguson-Mclean
323,23,2024-03-27,Expert Witness,18713.0,Stephens-Gibbs
324,23,2023-11-13,Mediation Services,7736.89,"Wheeler, Rocha and Rodriguez"
325,23,2023-10-15,Transcript Services,8911.6,"Kelly, Holland and Williams"
326,23,2024-04-26,Deposition,1105.69,"Lucas, Rasmussen and Rivera"
327,23,2024-03-08,Investigation,801.74,Smith LLC
328,23,2023-10-08,Research/Legal Database,649.7,"Stone, Carpenter and Johnston"
329,24,2023-08-19,Transcript Services,10405.19,Ford-Frazier
330,24,2023-10-19,Mediation Services,10423.14,Cooper Inc
331,24,2023-08-29,Court Fees,3254.35,Perry-Nixon
332,24,2023-05-29,Deposition,2705.2,"Thomas, Collins and Gibson"
333,24,2023-06-21,Investigation,7704.11,Bailey-Davis
334,24,2023-10-27,Transcript Services,10678.87,Flores-Evans
335,24,2023-11-18,Research/Legal Database,6260.28,Johnson LLC
336,24,2023-10-09,Travel,2439.62,"Marsh, Spears and Yang"
337,24,2023-09-06,Transcript Services,11245.67,"Moore, Castro and Mullen"
338,24,2023-06-27,Filing Fees,1549.27,Soto-Lopez
339,24,2023-10-11,Research/Legal Database,7059.08,Johnson-Mendez
340,24,2023-06-19,Investigation,7375.4,"Jordan, Smith and Lewis"
341,24,2023-07-09,Research/Legal Database,2820.26,"Stokes, Brown and Garcia"
342,24,2023-12-04,Deposition,6105.15,Diaz and Sons
343,24,2023-08-22,Expert Witness,23826.24,Lambert-Burns
344,24,2023-12-27,Filing Fees,2071.8,Harper-Carr
345,25,2023-11-02,Research/Legal Database,12238.06,Bell-Ellis
346,25,2022-11-22,Research/Legal Database,902.77,"Mccarthy, Evans and Mendez"
347,25,2022-09-10,Deposition,6154.34,Edwards and Sons
348,25,2023-03-13,Research/Legal Database,2688.19,Brooks and Sons
349,25,2023-08-31,Document Review,2196.87,Carlson-Andrews
350,25,2023-06-19,Deposition,9316.54,Reid-Steele
351,25,2023-12-21,Filing Fees,1482.65,Peters Group
352,26,2024-12-18,Transcript Services,5107.32,Edwards Group
353,26,2024-12-24,Transcript Services,6332.24,Crane-Washington
354,26,2024-12-17,Filing Fees,1599.64,Maynard-Wagner
355,26,2024-12-22,Research/Legal Database,9863.41,"Vasquez, Mckinney and Wallace"
356,26,2024-12-16,Research/Legal Database,12486.69,"Johnson, Juarez and Carter"
357,26,2024-12-18,Document Review,10129.16,"Roberts, Norman and Cunningham"
358,26,2024-12-27,Research/Legal Database,1119.81,Dunn-Wilson
359,26,2024-12-15,Filing Fees,841.99,"Morrow, Richardson and Carson"
360,26,2024-12-14,Document Review,9540.78,"Alexander, Robinson and Coleman"
361,27,2024-12-29,Mediation Services,5424.82,"Potter, Evans and Kidd"
362,27,2024-12-27,Travel,2842.86,Atkins-Miller
363,27,2024-12-30,Court Fees,1503.66,Rowe and Sons
364,27,2024-12-26,Mediation Services,11524.11,"Matthews, Bell and Page"
365,27,2024-12-28,Expert Witness,6962.42,Jensen and Sons
366,28,2024-11-06,Mediation Services,12849.18,Hudson PLC
367,28,2024-06-05,Travel,7339.35,"Jackson, Werner and Carter"
368,28,2024-08-29,Research/Legal Database,1431.37,"Duke, Shelton and Davis"
369,28,2024-12-20,Court Fees,1295.51,Sellers-Riddle
370,28,2024-11-22,Research/Legal Database,1868.24,Miles and Sons
371,28,2024-05-27,Research/Legal Database,11840.61,"Morris, Wright and Bridges"
372,28,2024-07-07,Deposition,7742.65,Ray LLC
373,28,2024-09-14,Mediation Services,10109.82,Hayes-Schultz
374,28,2024-11-26,Court Fees,3700.53,Powell Ltd
375,28,2024-06-04,Mediation Services,2727.98,Gibson-Freeman
376,28,2024-08-31,Filing Fees,2945.48,"Davis, Stanton and Reid"
377,28,2024-10-04,Mediation Services,7742.8,Flynn Group
378,28,2024-05-18,Filing Fees,1840.79,Summers-Simpson
379,28,2024-06-17,Expert Witness,9679.15,Morgan-Lane
380,28,2024-08-27,Transcript Services,2091.16,Kramer-Shannon
381,28,2024-10-23,Deposition,3359.29,Garcia Group
382,28,2024-03-20,Mediation Services,1348.07,Alexander Inc
383,28,2024-12-28,Document Review,14837.92,Harris-Barker
384,28,2024-04-23,Research/Legal Database,12638.99,"Turner, Baxter and Mcdowell"
385,28,2024-04-12,Expert Witness,6916.11,Wright-Watson
386,28,2024-12-03,Filing Fees,1299.48,Williams Ltd
387,28,2024-06-12,Mediation Services,13775.71,"Fischer, Patterson and Davis"
388,28,2024-04-12,Investigation,6912.54,Woods and Sons
389,29,2024-11-24,Investigation,4046.0,"Frazier, Smith and Dominguez"
390,29,2024-12-14,Deposition,5687.03,Benson-Woods
391,29,2024-10-23,Filing Fees,3370.13,Cross Inc
392,29,2024-10-12,Document Review,14213.11,Ibarra-Taylor
393,29,2024-12-10,Filing Fees,3870.2,May Ltd
394,29,2024-10-15,Court Fees,3181.07,"Elliott, Bishop and Martin"
395,29,2024-11-03,Research/Legal Database,3656.82,Fuller and Sons
396,29,2024-12-23,Research/Legal Database,2121.0,"Parks, Heath and Miller"
397,29,2024-10-11,Research/Legal Database,10865.46,Lawrence Group
398,29,2024-11-03,Filing Fees,4138.98,Edwards-Taylor
399,29,2024-10-27,Research/Legal Database,1589.0,Wright PLC
400,29,2024-11-25,Research/Legal Database,748.06,"Mitchell, Pugh and Johnson"
401,29,2024-12-17,Court Fees,704.62,Harris-Lawson
402,29,2024-10-19,Research/Legal Database,9370.15,Phillips-Brown
403,29,2024-12-21,Mediation Services,3645.89,Simpson Inc
404,29,2024-10-24,Court Fees,1766.32,"Wheeler, Rice and Levine"
405,29,2024-12-29,Investigation,14096.08,Anderson-Valencia
406,29,2024-11-22,Transcript Services,11701.04,Payne-Thompson
407,29,2024-11-13,Court Fees,905.21,Smith Inc
408,29,2024-10-04,Transcript Services,6974.45,Williams Inc
409,29,2024-12-26,Filing Fees,3146.57,Hunter-Fuller
410,30,2024-07-06,Transcript Services,4526.43,Henderson-Morales
411,30,2024-08-25,Mediation Services,1899.76,"Jensen, Ramirez and Collins"
412,30,2024-07-10,Research/Legal Database,7948.47,Mccann and Sons
413,30,2024-07-18,Travel,1998.04,Willis-Hines
414,30,2024-08-28,Mediation Services,788.58,"Jones, Hale and Blair"
