billing_id,matter_id,attorney_id,billing_date,hours_worked,hourly_rate,amount,billable_status
87,3,6,2024-01-04,15.9,311.18528947223797,4947.85,Non-Billable
88,3,5,2024-01-04,40.8,333.24426408004217,13596.37,Non-Billable
89,3,10,2024-01-04,35.5,246.99098521619942,8768.18,Billable
90,3,6,2024-02-04,64.2,311.18528947223797,19978.1,Non-Billable
91,3,3,2024-02-04,65.2,356.50515929852793,23244.14,Non-Billable
92,3,12,2024-02-04,33.1,155.80836121681995,5157.26,Non-Billable
93,3,5,2024-02-04,29.9,333.24426408004217,9964.0,Non-Billable
94,3,10,2024-02-04,77.5,246.99098521619942,19141.8,Non-Billable
95,3,6,2024-03-04,33.3,311.18528947223797,10362.47,Non-Billable
96,3,3,2024-03-04,74.2,356.50515929852793,26452.68,Billable
97,3,12,2024-03-04,58.9,155.80836121681995,9177.11,Billable
98,3,10,2024-03-04,15.9,246.99098521619942,3927.16,Non-Billable
99,3,6,2024-04-04,65.4,311.18528947223797,20351.52,Billable
100,3,3,2024-04-04,68.0,356.50515929852793,24242.35,Non-Billable
101,3,12,2024-04-04,73.9,155.80836121681995,11514.24,Billable
102,3,5,2024-04-04,39.6,333.24426408004217,13196.47,Billable
103,3,6,2024-05-04,76.6,311.18528947223797,23836.79,Billable
104,3,3,2024-05-04,44.0,356.50515929852793,15686.23,Billable
105,3,12,2024-05-04,20.8,155.80836121681995,3240.81,Billable
106,3,5,2024-05-04,17.1,333.24426408004217,5698.48,Non-Billable
107,3,10,2024-05-04,71.9,246.99098521619942,17758.65,Billable
108,3,6,2024-06-04,71.3,311.18528947223797,22187.51,Non-Billable
109,3,12,2024-06-04,21.4,155.80836121681995,3334.3,Non-Billable
110,3,5,2024-06-04,66.6,333.24426408004217,22194.07,Billable
111,3,10,2024-06-04,13.1,246.99098521619942,3235.58,Billable
112,3,6,2024-07-04,26.6,311.18528947223797,8277.53,Billable
113,3,3,2024-07-04,62.7,356.50515929852793,22352.87,Billable
114,3,10,2024-07-04,64.9,246.99098521619942,16029.71,Billable
115,3,6,2024-08-04,76.3,311.18528947223797,23743.44,Billable
116,3,3,2024-08-04,29.7,356.50515929852793,10588.2,Billable
117,3,12,2024-08-04,39.3,155.80836121681995,6123.27,Billable
118,3,5,2024-08-04,66.1,333.24426408004217,22027.45,Billable
119,3,10,2024-08-04,13.7,246.99098521619942,3383.78,Billable
120,3,6,2024-09-04,48.8,311.18528947223797,15185.84,Billable
121,3,3,2024-09-04,46.1,356.50515929852793,16434.89,Billable
122,3,5,2024-09-04,29.1,333.24426408004217,9697.41,Non-Billable
123,3,6,2024-10-04,76.2,311.18528947223797,23712.32,Billable
124,3,3,2024-10-04,71.9,356.50515929852793,25632.72,Billable
125,3,12,2024-10-04,37.8,155.80836121681995,5889.56,Billable
126,3,10,2024-10-04,36.2,246.99098521619942,8941.07,Billable
127,3,6,2024-11-04,16.9,311.18528947223797,5259.03,Non-Billable
128,3,3,2024-11-04,65.4,356.50515929852793,23315.44,Billable
129,3,5,2024-11-04,43.1,333.24426408004217,14362.83,Billable
130,3,10,2024-11-04,42.8,246.99098521619942,10571.21,Non-Billable
131,3,5,2024-12-04,48.4,333.24426408004217,16129.02,Non-Billable
132,3,10,2024-12-04,39.6,246.99098521619942,9780.84,Billable
133,4,2,2022-07-07,53.6,209.86584841970367,11248.81,Billable
134,4,5,2022-08-07,51.8,333.24426408004217,17262.05,Billable
135,4,2,2022-08-07,50.3,209.86584841970367,10556.25,Non-Billable
136,4,5,2022-09-07,53.0,333.24426408004217,17661.95,Billable
137,4,2,2022-09-07,23.1,209.86584841970367,4847.9,Non-Billable
138,4,5,2022-10-07,14.7,333.24426408004217,4898.69,Non-Billable
139,4,2,2022-10-07,65.0,209.86584841970367,13641.28,Non-Billable
140,4,1,2022-10-07,37.3,209.86584841970367,7828.0,Billable
141,4,2,2022-11-07,36.1,209.86584841970367,7576.16,Non-Billable
142,4,5,2022-12-07,34.1,333.24426408004217,11363.63,Non-Billable
143,4,2,2022-12-07,17.3,209.86584841970367,3630.68,Non-Billable
144,4,1,2022-12-07,33.3,209.86584841970367,6988.53,Billable
145,4,5,2023-01-07,33.7,333.24426408004217,11230.33,Non-Billable
146,4,1,2023-01-07,42.5,209.86584841970367,8919.3,Non-Billable
147,4,5,2023-02-07,22.8,333.24426408004217,7597.97,Billable
148,4,1,2023-02-07,42.0,209.86584841970367,8814.37,Billable
149,4,2,2023-03-07,72.0,209.86584841970367,15110.34,Billable
150,4,1,2023-03-07,46.1,209.86584841970367,9674.82,Non-Billable
151,4,5,2023-04-07,12.6,333.24426408004217,4198.88,Non-Billable
152,4,1,2023-04-07,64.7,209.86584841970367,13578.32,Non-Billable
153,4,5,2023-05-07,18.7,333.24426408004217,6231.67,Billable
154,4,2,2023-05-07,38.0,209.86584841970367,7974.9,Billable
155,4,1,2023-05-07,37.1,209.86584841970367,7786.02,Billable
156,4,5,2023-06-07,44.8,333.24426408004217,14929.34,Non-Billable
157,4,5,2023-07-07,40.1,333.24426408004217,13363.09,Billable
158,4,2,2023-07-07,32.5,209.86584841970367,6820.64,Billable
159,4,1,2023-07-07,30.7,209.86584841970367,6442.88,Billable
160,4,5,2023-08-07,39.8,333.24426408004217,13263.12,Non-Billable
161,4,2,2023-08-07,41.3,209.86584841970367,8667.46,Non-Billable
162,4,1,2023-08-07,34.7,209.86584841970367,7282.34,Billable
163,4,2,2023-09-07,76.4,209.86584841970367,16033.75,Billable
164,4,1,2023-09-07,38.4,209.86584841970367,8058.85,Non-Billable
165,4,5,2023-10-07,57.6,333.24426408004217,19194.87,Billable
166,4,1,2023-10-07,64.7,209.86584841970367,13578.32,Billable
167,4,1,2023-11-07,35.4,209.86584841970367,7429.25,Non-Billable
168,4,1,2023-12-07,36.0,209.86584841970367,7555.17,Billable
169,4,5,2024-01-07,50.2,333.24426408004217,16728.86,Non-Billable
170,4,2,2024-01-07,32.0,209.86584841970367,6715.71,Billable
171,4,2,2024-02-07,44.9,209.86584841970367,9422.98,Billable
172,4,1,2024-02-07,18.2,209.86584841970367,3819.56,Billable
173,4,5,2024-03-07,25.0,333.24426408004217,8331.11,Non-Billable
174,4,1,2024-03-07,44.4,209.86584841970367,9318.04,Billable
175,4,5,2024-05-07,79.8,333.24426408004217,26592.89,Non-Billable
176,4,2,2024-05-07,79.1,209.86584841970367,16600.39,Non-Billable
177,4,1,2024-05-07,14.5,209.86584841970367,3043.05,Non-Billable
178,4,5,2024-07-07,59.0,333.24426408004217,19661.41,Billable
179,4,2,2024-07-07,45.6,209.86584841970367,9569.88,Billable
180,4,1,2024-07-07,65.4,209.86584841970367,13725.23,Billable
181,4,5,2024-08-07,11.8,333.24426408004217,3932.28,Non-Billable
182,4,2,2024-08-07,42.7,209.86584841970367,8961.27,Non-Billable
183,4,5,2024-09-07,14.6,333.24426408004217,4865.37,Billable
184,4,2,2024-09-07,60.3,209.86584841970367,12654.91,Non-Billable
185,4,1,2024-09-07,38.7,209.86584841970367,8121.81,Non-Billable
186,4,2,2024-10-07,55.0,209.86584841970367,11542.62,Billable
187,4,1,2024-10-07,46.2,209.86584841970367,9695.8,Billable
188,4,5,2024-11-07,64.6,333.24426408004217,21527.58,Non-Billable
189,4,2,2024-11-07,63.7,209.86584841970367,13368.45,Billable
190,4,1,2024-11-07,73.7,209.86584841970367,15467.11,Billable
191,4,5,2024-12-07,46.3,333.24426408004217,15429.21,Billable
192,4,1,2024-12-07,59.7,209.86584841970367,12528.99,Billable
193,5,5,2024-04-21,53.0,333.24426408004217,17661.95,Billable
194,5,4,2024-04-21,21.8,263.9493860652042,5754.1,Non-Billable
195,5,2,2024-05-21,60.4,209.86584841970367,12675.9,Non-Billable
196,5,5,2024-05-21,74.7,333.24426408004217,24893.35,Billable
197,5,4,2024-05-21,12.0,263.9493860652042,3167.39,Billable
198,5,9,2024-05-21,64.0,496.7566614134116,31792.43,Billable
199,5,2,2024-06-21,63.7,209.86584841970367,13368.45,Billable
200,5,5,2024-06-21,12.1,333.24426408004217,4032.26,Non-Billable
201,5,4,2024-06-21,54.9,263.9493860652042,14490.82,Billable
202,5,9,2024-06-21,66.3,496.7566614134116,32934.97,Non-Billable
203,5,2,2024-07-21,41.7,209.86584841970367,8751.41,Non-Billable
204,5,4,2024-07-21,43.9,263.9493860652042,11587.38,Billable
205,5,9,2024-07-21,20.1,496.7566614134116,9984.81,Non-Billable
206,5,2,2024-08-21,79.2,209.86584841970367,16621.38,Billable
207,5,5,2024-08-21,19.2,333.24426408004217,6398.29,Billable
208,5,4,2024-08-21,17.4,263.9493860652042,4592.72,Billable
209,5,9,2024-08-21,28.7,496.7566614134116,14256.92,Billable
210,5,4,2024-09-21,70.5,263.9493860652042,18608.43,Billable
211,5,2,2024-10-21,21.2,209.86584841970367,4449.16,Billable
212,5,5,2024-10-21,60.5,333.24426408004217,20161.28,Billable
213,5,4,2024-10-21,44.9,263.9493860652042,11851.33,Non-Billable
214,5,9,2024-10-21,71.5,496.7566614134116,35518.1,Billable
215,5,5,2024-11-21,45.4,333.24426408004217,15129.29,Billable
216,5,9,2024-11-21,13.5,496.7566614134116,6706.21,Billable
217,5,2,2024-12-21,69.0,209.86584841970367,14480.74,Non-Billable
218,5,5,2024-12-21,47.6,333.24426408004217,15862.43,Billable
219,5,4,2024-12-21,71.8,263.9493860652042,18951.57,Non-Billable
220,5,9,2024-12-21,38.2,496.7566614134116,18976.1,Billable
221,6,1,2024-09-26,15.1,209.86584841970367,3168.97,Non-Billable
222,6,10,2024-09-26,48.5,246.99098521619942,11979.06,Non-Billable
223,6,9,2024-09-26,18.3,496.7566614134116,9090.65,Billable
224,6,4,2024-09-26,65.6,263.9493860652042,17315.08,Billable
225,6,6,2024-09-26,35.6,311.18528947223797,11078.2,Billable
226,6,10,2024-10-26,45.0,246.99098521619942,11114.59,Billable
227,6,4,2024-10-26,66.3,263.9493860652042,17499.84,Non-Billable
228,6,6,2024-10-26,52.4,311.18528947223797,16306.11,Non-Billable
229,6,10,2024-11-26,32.3,246.99098521619942,7977.81,Billable
230,6,9,2024-11-26,61.8,496.7566614134116,30699.56,Billable
231,6,4,2024-11-26,45.5,263.9493860652042,12009.7,Non-Billable
232,6,6,2024-11-26,59.6,311.18528947223797,18546.64,Billable
233,6,1,2024-12-26,11.2,209.86584841970367,2350.5,Billable
234,6,10,2024-12-26,78.6,246.99098521619942,19413.49,Non-Billable
235,6,9,2024-12-26,72.9,496.7566614134116,36213.56,Non-Billable
236,6,4,2024-12-26,51.8,263.9493860652042,13672.58,Billable
237,6,6,2024-12-26,64.8,311.18528947223797,20164.81,Non-Billable
238,7,12,2022-06-06,46.7,155.80836121681995,7276.25,Non-Billable
239,7,1,2022-06-06,68.9,209.86584841970367,14459.76,Billable
240,7,10,2022-06-06,27.0,246.99098521619942,6668.76,Non-Billable
241,7,12,2022-07-06,17.7,155.80836121681995,2757.81,Billable
242,7,1,2022-07-06,39.3,209.86584841970367,8247.73,Billable
243,7,10,2022-07-06,38.7,246.99098521619942,9558.55,Non-Billable
244,7,12,2022-08-06,71.1,155.80836121681995,11077.97,Non-Billable
245,7,1,2022-08-06,59.4,209.86584841970367,12466.03,Non-Billable
246,7,12,2022-09-06,56.4,155.80836121681995,8787.59,Non-Billable
247,7,1,2022-09-06,77.0,209.86584841970367,16159.67,Billable
248,7,10,2022-09-06,34.0,246.99098521619942,8397.69,Billable
249,7,12,2022-10-06,70.7,155.80836121681995,11015.65,Non-Billable
250,7,1,2022-10-06,58.5,209.86584841970367,12277.15,Non-Billable
251,7,10,2022-10-06,77.0,246.99098521619942,19018.31,Billable
252,7,12,2022-11-06,25.7,155.80836121681995,4004.27,Billable
253,7,1,2022-11-06,59.3,209.86584841970367,12445.04,Non-Billable
254,7,10,2022-11-06,32.2,246.99098521619942,7953.11,Billable
255,7,12,2022-12-06,75.4,155.80836121681995,11747.95,Non-Billable
256,8,6,2023-03-14,34.2,311.18528947223797,10642.54,Billable
257,8,3,2023-03-14,62.3,356.50515929852793,22210.27,Billable
258,8,1,2023-03-14,75.3,209.86584841970367,15802.9,Non-Billable
259,8,3,2023-04-14,26.7,356.50515929852793,9518.69,Billable
260,8,5,2023-04-14,47.2,333.24426408004217,15729.13,Non-Billable
261,8,6,2023-05-14,43.1,311.18528947223797,13412.09,Non-Billable
262,8,3,2023-05-14,10.4,356.50515929852793,3707.65,Non-Billable
263,8,5,2023-05-14,21.1,333.24426408004217,7031.45,Non-Billable
264,8,1,2023-05-14,71.5,209.86584841970367,15005.41,Billable
265,8,7,2023-06-14,62.9,209.86584841970367,13200.56,Billable
266,8,6,2023-06-14,55.2,311.18528947223797,17177.43,Billable
267,8,3,2023-06-14,26.3,356.50515929852793,9376.09,Non-Billable
268,8,5,2023-06-14,75.6,333.24426408004217,25193.27,Billable
269,8,1,2023-06-14,68.6,209.86584841970367,14396.8,Billable
270,8,7,2023-07-14,37.8,209.86584841970367,7932.93,Billable
271,8,3,2023-07-14,71.1,356.50515929852793,25347.52,Billable
272,8,5,2023-07-14,10.6,333.24426408004217,3532.39,Non-Billable
273,8,1,2023-07-14,75.0,209.86584841970367,15739.94,Billable
274,8,6,2023-08-14,48.0,311.18528947223797,14936.89,Billable
275,8,3,2023-08-14,19.4,356.50515929852793,6916.2,Non-Billable
276,8,5,2023-08-14,23.5,333.24426408004217,7831.24,Billable
277,8,1,2023-08-14,61.2,209.86584841970367,12843.79,Non-Billable
278,8,3,2023-09-14,65.4,356.50515929852793,23315.44,Non-Billable
279,8,5,2023-09-14,23.5,333.24426408004217,7831.24,Non-Billable
280,8,1,2023-09-14,72.8,209.86584841970367,15278.23,Billable
281,8,7,2023-10-14,16.1,209.86584841970367,3378.84,Non-Billable
282,8,3,2023-10-14,43.4,356.50515929852793,15472.32,Billable
283,8,1,2023-10-14,41.3,209.86584841970367,8667.46,Billable
284,8,7,2023-11-14,31.1,209.86584841970367,6526.83,Non-Billable
285,8,6,2023-11-14,28.3,311.18528947223797,8806.54,Billable
286,8,3,2023-11-14,14.3,356.50515929852793,5098.02,Billable
287,8,5,2023-11-14,21.2,333.24426408004217,7064.78,Non-Billable
288,8,1,2023-11-14,72.7,209.86584841970367,15257.25,Non-Billable
289,9,12,2022-06-17,25.3,155.80836121681995,3941.95,Billable
290,9,2,2022-06-17,41.8,209.86584841970367,8772.39,Non-Billable
291,9,5,2022-06-17,59.1,333.24426408004217,19694.74,Billable
292,9,6,2022-06-17,66.1,311.18528947223797,20569.35,Billable
293,9,12,2022-07-17,57.6,155.80836121681995,8974.56,Non-Billable
294,9,2,2022-07-17,15.7,209.86584841970367,3294.89,Billable
295,9,5,2022-07-17,35.3,333.24426408004217,11763.52,Non-Billable
296,9,12,2022-08-17,73.2,155.80836121681995,11405.17,Billable
297,9,2,2022-08-17,20.5,209.86584841970367,4302.25,Billable
298,9,5,2022-08-17,40.9,333.24426408004217,13629.69,Non-Billable
299,9,12,2022-09-17,16.4,155.80836121681995,2555.26,Non-Billable
300,9,2,2022-09-17,13.9,209.86584841970367,2917.14,Billable
301,9,5,2022-09-17,42.0,333.24426408004217,13996.26,Billable
302,9,6,2022-09-17,57.1,311.18528947223797,17768.68,Billable
303,9,12,2022-10-17,37.7,155.80836121681995,5873.98,Billable
304,9,2,2022-10-17,50.5,209.86584841970367,10598.23,Billable
305,9,5,2022-10-17,59.0,333.24426408004217,19661.41,Non-Billable
306,9,6,2022-10-17,75.4,311.18528947223797,23463.37,Billable
307,9,12,2022-11-17,43.0,155.80836121681995,6699.76,Billable
308,9,2,2022-11-17,63.8,209.86584841970367,13389.44,Non-Billable
309,9,5,2022-11-17,55.2,333.24426408004217,18395.08,Billable
310,9,6,2022-11-17,72.4,311.18528947223797,22529.81,Billable
311,9,12,2022-12-17,73.5,155.80836121681995,11451.91,Billable
312,9,5,2022-12-17,71.2,333.24426408004217,23726.99,Billable
313,9,6,2022-12-17,34.3,311.18528947223797,10673.66,Billable
314,9,12,2023-01-17,37.5,155.80836121681995,5842.81,Billable
315,9,2,2023-01-17,25.6,209.86584841970367,5372.57,Billable
316,9,5,2023-01-17,78.5,333.24426408004217,26159.67,Billable
317,9,6,2023-01-17,48.1,311.18528947223797,14968.01,Non-Billable
318,9,12,2023-02-17,26.1,155.80836121681995,4066.6,Billable
319,9,2,2023-02-17,29.3,209.86584841970367,6149.07,Non-Billable
320,9,5,2023-02-17,12.3,333.24426408004217,4098.9,Non-Billable
321,9,6,2023-02-17,63.6,311.18528947223797,19791.38,Billable
322,10,4,2023-08-03,41.3,263.9493860652042,10901.11,Non-Billable
323,10,2,2023-08-03,13.4,209.86584841970367,2812.2,Non-Billable
324,10,4,2023-09-03,47.8,263.9493860652042,12616.78,Billable
325,10,11,2023-09-03,26.4,210.1115011743209,5546.94,Non-Billable
326,10,4,2023-10-03,50.4,263.9493860652042,13303.05,Non-Billable
327,10,2,2023-10-03,26.6,209.86584841970367,5582.43,Billable
328,10,11,2023-10-03,46.5,210.1115011743209,9770.18,Billable
329,10,4,2023-11-03,14.3,263.9493860652042,3774.48,Non-Billable
330,10,2,2023-11-03,73.8,209.86584841970367,15488.1,Non-Billable
331,10,11,2023-11-03,48.9,210.1115011743209,10274.45,Billable
332,10,4,2023-12-03,75.9,263.9493860652042,20033.76,Non-Billable
333,10,2,2023-12-03,46.7,209.86584841970367,9800.74,Non-Billable
334,10,11,2023-12-03,20.4,210.1115011743209,4286.27,Billable
335,10,2,2024-01-03,26.9,209.86584841970367,5645.39,Billable
336,10,11,2024-01-03,59.5,210.1115011743209,12501.63,Billable
337,11,9,2023-01-08,49.0,496.7566614134116,24341.08,Billable
338,11,7,2023-01-08,27.8,209.86584841970367,5834.27,Billable
339,11,9,2023-02-08,74.6,496.7566614134116,37058.05,Billable
340,11,9,2023-03-08,23.3,496.7566614134116,11574.43,Billable
341,11,7,2023-03-08,52.3,209.86584841970367,10975.98,Billable
342,11,9,2023-04-08,23.2,496.7566614134116,11524.75,Non-Billable
343,11,7,2023-04-08,49.1,209.86584841970367,10304.41,Billable
344,11,7,2023-05-08,31.2,209.86584841970367,6547.81,Billable
345,11,9,2023-07-08,62.3,496.7566614134116,30947.94,Billable
346,11,7,2023-07-08,58.7,209.86584841970367,12319.13,Non-Billable
347,11,7,2023-08-08,48.6,209.86584841970367,10199.48,Billable
348,11,9,2023-09-08,47.4,496.7566614134116,23546.27,Billable
349,11,7,2023-09-08,35.2,209.86584841970367,7387.28,Billable
350,11,9,2023-10-08,66.2,496.7566614134116,32885.29,Non-Billable
351,11,7,2023-10-08,68.8,209.86584841970367,14438.77,Billable
352,11,9,2023-11-08,39.0,496.7566614134116,19373.51,Non-Billable
353,11,7,2023-11-08,61.9,209.86584841970367,12990.7,Billable
354,11,7,2023-12-08,50.5,209.86584841970367,10598.23,Billable
355,11,7,2024-02-08,27.2,209.86584841970367,5708.35,Non-Billable
356,11,9,2024-03-08,57.9,496.7566614134116,28762.21,Billable
357,11,7,2024-03-08,44.2,209.86584841970367,9276.07,Non-Billable
358,11,9,2024-04-08,44.3,496.7566614134116,22006.32,Billable
359,11,7,2024-04-08,34.7,209.86584841970367,7282.34,Billable
360,11,9,2024-05-08,44.2,496.7566614134116,21956.64,Non-Billable
361,11,7,2024-05-08,77.0,209.86584841970367,16159.67,Non-Billable
362,11,7,2024-06-08,76.2,209.86584841970367,15991.78,Non-Billable
363,11,7,2024-08-08,14.8,209.86584841970367,3106.01,Billable
364,11,7,2024-09-08,36.1,209.86584841970367,7576.16,Non-Billable
365,11,9,2024-10-08,75.4,496.7566614134116,37455.45,Billable
366,11,7,2024-10-08,11.1,209.86584841970367,2329.51,Non-Billable
367,11,9,2024-11-08,10.8,496.7566614134116,5364.97,Non-Billable
368,11,7,2024-11-08,47.5,209.86584841970367,9968.63,Billable
369,11,7,2024-12-08,57.2,209.86584841970367,12004.33,Billable
370,12,2,2022-08-15,67.1,209.86584841970367,14082.0,Billable
371,12,9,2022-08-15,15.5,496.7566614134116,7699.73,Billable
372,12,2,2022-09-15,27.0,209.86584841970367,5666.38,Non-Billable
373,12,2,2022-10-15,69.4,209.86584841970367,14564.69,Non-Billable
374,12,9,2022-10-15,55.5,496.7566614134116,27569.99,Billable
375,12,9,2022-11-15,48.7,496.7566614134116,24192.05,Billable
376,12,2,2022-12-15,59.2,209.86584841970367,12424.06,Billable
377,12,9,2022-12-15,40.4,496.7566614134116,20068.97,Billable
378,12,2,2023-01-15,70.1,209.86584841970367,14711.6,Billable
379,12,9,2023-01-15,74.3,496.7566614134116,36909.02,Billable
380,12,9,2023-02-15,72.1,496.7566614134116,35816.16,Billable
381,12,9,2023-03-15,57.9,496.7566614134116,28762.21,Billable
382,12,2,2023-04-15,49.4,209.86584841970367,10367.37,Billable
383,12,2,2023-05-15,11.1,209.86584841970367,2329.51,Billable
384,12,9,2023-05-15,62.7,496.7566614134116,31146.64,Non-Billable
385,12,2,2023-06-15,75.0,209.86584841970367,15739.94,Billable
386,12,9,2023-07-15,37.2,496.7566614134116,18479.35,Non-Billable
387,12,2,2023-08-15,62.9,209.86584841970367,13200.56,Billable
388,12,9,2023-08-15,58.3,496.7566614134116,28960.91,Billable
389,12,2,2023-09-15,78.2,209.86584841970367,16411.51,Billable
390,12,2,2023-11-15,53.0,209.86584841970367,11122.89,Non-Billable
391,12,9,2023-11-15,64.1,496.7566614134116,31842.1,Billable
392,12,2,2023-12-15,64.8,209.86584841970367,13599.31,Billable
393,12,9,2023-12-15,34.9,496.7566614134116,17336.81,Billable
394,12,2,2024-01-15,57.6,209.86584841970367,12088.27,Non-Billable
395,12,9,2024-01-15,64.1,496.7566614134116,31842.1,Billable
396,12,2,2024-02-15,59.9,209.86584841970367,12570.96,Billable
